,Unnamed: 0,Municipality,Year,lt_ue,treatment,post,int,led,med,hed,lf,s_ltue_lf,s_led_ltue,s_med_ltue,s_hed_ltue,urb,pop,s_u15,s_15-64,s_o64,s_for,ex_births,net_mig,emp,ue,s_pen,dep_r,s_pri,s_sec,s_ser,lt_ue_ratio,lt_ue_med_ratio,lt_ue_led_ratio,lt_ue_change,lt_ue_ratio_change,abs_lt_ue_ratio_change
1745,1746,Nurmijärvi,2015,533.666666666667,0,0,1.0,219.5,238.75,72.8333333333333,20897,2.5537956006444302,41.1305434103685,44.737663960024996,13.647720174890699,87.1,41897.0,22.1,63.2,14.7,2.6,219.0,86.0,77.7,8.4,17.8,117.4,2.0,25.8,70.6,0.02553795600644432,0.01142508494042207,0.010503900081351391,0.10290443472829362,0.09645071229862759,0.0024631540474725697
1760,1761,Orimattila,2010,168.75,1,0,0.0,88.0833333333333,75.5,2.1666666666666696,7594,2.22214906505136,52.1975308641975,44.7407407407407,1.28395061728395,65.9,16309.0,17.9,63.2,18.9,1.3,-23.0,-31.0,69.9,10.5,25.8,140.2,11.1,35.0,51.7,0.022221490650513563,0.009942059520674217,0.011599069440786581,-0.0014814814814814814,-0.0033189235502589292,-7.375142864184808e-05
1761,1762,Orimattila,2011,168.5,1,0,0.0,97.9166666666667,63.5833333333333,2.3333333333333304,7608,2.21477392218717,58.1107814045499,37.7349159248269,1.3847675568743798,65.8,16369.0,17.7,62.8,19.6,1.4,-34.0,72.0,70.3,10.7,26.2,139.7,11.1,33.3,53.4,0.022147739221871715,0.0083574307746232,0.012870224325271648,0.07962413452027892,0.0827551299011708,0.0018328390363232493
1762,1763,Orimattila,2012,181.916666666667,1,0,0.0,99.9166666666667,73.0,0.0,7586,2.3980578258194902,54.9244159413651,40.1282638570774,0.0,65.2,16300.0,17.6,62.0,20.3,1.5,-41.0,-47.0,70.8,11.5,26.3,140.0,10.0,32.5,55.2,0.023980578258194964,0.009622989717901397,0.013171192547675547,0.2844709115895551,0.273558532913131,0.00656009180672034
1763,1764,Orimattila,2013,233.666666666667,1,0,1.0,121.083333333333,102.5,2.25,7651,3.05406700649153,51.8188302425107,43.865905848787406,0.9629101283880172,65.8,16347.0,17.8,61.1,21.1,1.5,-24.0,61.0,70.0,12.7,26.5,145.6,10.4,31.4,56.1,0.030540670064915305,0.01339694157626454,0.015825817975863677,0.3791012838801692,0.3746096825126595,0.011440830716741807
1764,1765,Orimattila,2014,322.25,1,0,1.0,144.5,161.25,16.0833333333333,7676,4.19815007816571,44.8409619860357,50.0387897595035,4.990949056115849,66.2,16288.0,17.6,60.5,21.9,1.5,-26.0,-43.0,68.7,15.5,27.0,153.0,10.3,29.8,57.6,0.04198150078165711,0.021007034914017716,0.01882490880667014,0.23222136022756548,0.24013782104455136,0.010081346121887269
1765,1766,Orimattila,2015,397.083333333333,1,0,1.0,163.666666666667,212.5,20.0,7627,5.20628469035444,41.2172088142707,53.515215110178396,5.03672612801679,66.4,16326.0,17.6,59.9,22.5,1.6,-2.0,28.0,69.0,14.5,27.6,153.7,9.8,30.8,56.9,0.05206284690354438,0.027861544512914647,0.02145885232288803,-0.02308499475340849,-0.022315871274668313,-0.0011618277896922602
1780,1781,Orivesi,2010,107.833333333333,0,0,0.0,46.6666666666667,53.6666666666667,3.4166666666666696,4361,2.4726744630436404,43.276661514683106,49.7681607418856,3.16846986089645,68.2,9617.0,16.1,61.1,22.8,1.0,-10.0,-16.0,66.8,12.6,30.2,158.6,10.1,24.1,63.9,0.024726744630436368,0.01230604601391119,0.01070090957731408,-0.017774343122095915,-0.00822271598876139,-0.00020332099842270898
1781,1782,Orivesi,2011,105.916666666667,0,0,0.0,50.9166666666667,48.5,0.4166666666666671,4319,2.45234236320136,48.072383949645904,45.790715971675795,0.3933910306845,68.4,9590.0,15.9,60.3,23.8,1.0,-34.0,2.0,69.2,11.0,30.6,152.0,9.8,26.1,62.4,0.02452342363201366,0.011229451261866173,0.011788994365979787,0.12667191188040247,0.14334962110231636,0.003515423485780749
1782,1783,Orivesi,2012,119.333333333333,0,0,0.0,60.9166666666667,51.5,3.5,4256,2.80388471177945,51.047486033519604,43.1564245810056,2.93296089385475,70.7,9571.0,15.5,59.4,25.1,1.1,-38.0,4.0,68.1,13.1,31.1,159.4,9.8,22.9,65.5,0.02803884711779441,0.012100563909774436,0.014313126566416048,0.1564245810055898,0.15128491620112053,0.004241854636591557
1783,1784,Orivesi,2013,138.0,0,0,1.0,66.25,61.5,5.0,4275,3.2280701754386003,48.0072463768116,44.565217391304294,3.6231884057971,70.6,9630.0,15.8,58.6,25.7,1.1,-8.0,65.0,67.8,14.7,31.2,164.6,10.2,24.1,63.9,0.032280701754385965,0.014385964912280702,0.015497076023391813,0.2542270531400942,0.2624960330053927,0.008473556153156536
1784,1785,Orivesi,2014,173.083333333333,0,0,1.0,77.0,83.6666666666667,10.5,4247,4.0754257907542595,44.4872412132884,48.3389504092441,6.06644198363024,70.8,9579.0,15.7,57.9,26.4,1.2,-43.0,-28.0,67.0,16.2,31.5,171.2,10.0,23.5,64.7,0.0407542579075425,0.019700180519582458,0.018130445020014128,-0.08714492055849608,-0.09142359447197858,-0.0037259007479455916
1785,1786,Orivesi,2015,158.0,0,0,1.0,62.5833333333333,79.25,15.833333333333302,4267,3.70283571595969,39.609704641350206,50.1582278481013,10.0210970464135,70.8,9408.0,15.6,56.9,27.5,1.1,-44.0,-118.0,67.6,16.0,32.0,171.5,9.6,22.2,66.1,0.03702835715959691,0.018572767752519335,0.01466682290446058,0.14609704641350002,0.1607871106210311,0.005953682558735157
1790,1791,Oulainen,2010,64.9166666666667,0,0,0.0,32.0833333333333,25.3333333333333,2.6666666666666696,3427,1.8942709853127102,49.42233632862639,39.024390243902396,4.10783055198973,71.0,7889.0,19.6,61.0,19.4,0.5,15.0,-64.0,64.6,12.4,27.0,172.7,8.0,21.1,69.7,0.018942709853127137,0.007392277015854479,0.00936192977336834,0.01668806161745776,0.042234516052356535,0.0008000361833670304
1791,1792,Oulainen,2011,66.0,0,0,0.0,36.75,22.25,2.9166666666666696,3343,1.9742746036494199,55.6818181818182,33.712121212121204,4.4191919191919204,71.8,7916.0,19.9,60.2,19.9,0.6,11.0,-4.0,66.0,12.0,27.3,169.3,8.0,21.8,69.1,0.019742746036494167,0.00665569847442417,0.010993119952138797,0.18181818181818182,0.19649248389405866,0.0038793012076003205
1792,1793,Oulainen,2012,78.0,0,0,0.0,39.0833333333333,29.0833333333333,5.75,3302,2.3622047244094504,50.106837606837594,37.2863247863248,7.37179487179487,72.1,7847.0,19.8,59.3,20.9,0.6,2.0,-81.0,66.0,12.4,27.6,172.3,8.0,21.1,69.8,0.023622047244094488,0.008807793256612144,0.011836260852008873,0.19444444444444486,0.1801482811357142,0.004255471207930257
1793,1794,Oulainen,2013,93.1666666666667,0,0,1.0,42.4166666666667,45.75,1.25,3342,2.7877518452024703,45.52772808586761,49.1055456171735,1.34168157423971,74.1,7772.0,19.8,58.7,21.5,0.7,11.0,-96.0,65.1,14.8,28.1,178.0,8.2,19.3,71.8,0.027877518452024744,0.013689407540394972,0.012692000797925405,0.21735241502683675,0.23696922195794734,0.006606113857694624
1794,1795,Oulainen,2014,113.416666666667,0,0,1.0,47.9166666666667,57.5833333333333,5.58333333333333,3289,3.44836323097193,42.2483468038207,50.7714915503306,4.92285084496694,71.5,7725.0,19.7,58.0,22.4,0.7,19.0,-71.0,65.0,15.4,28.5,181.6,7.5,19.7,71.6,0.03448363230971937,0.017507854464376194,0.014568764568764579,0.226304188096981,0.22854537759700583,0.007881074767141123
1795,1796,Oulainen,2015,139.083333333333,0,0,1.0,54.0833333333333,70.5,10.4166666666667,3283,4.23647070768606,38.885560215698,50.6890353505093,7.489514679448769,73.9,7610.0,19.1,57.6,23.3,0.7,0.0,-117.0,65.8,14.7,29.4,181.7,6.8,20.5,71.7,0.04236470707686049,0.021474261346329578,0.0164737536805767,-0.1629718394248009,-0.15316996882330383,-0.006489000862171121
1800,1801,Oulu,2010,2388.5,1,0,0.0,762.416666666667,1257.83333333333,335.08333333333303,89176,2.6784112317215403,31.9203126090294,52.6620612657875,14.0290279812993,95.9,185419.0,19.5,68.3,12.2,2.0,1791.0,787.0,65.7,12.4,18.0,134.6,0.9,21.1,76.7,0.026784112317215395,0.014105065637989259,0.0085495723812087,0.0408205987021143,0.04140450272490342,0.001108982851422264
1801,1802,Oulu,2011,2486.0,1,0,0.0,878.333333333333,1280.41666666667,324.75,89126,2.78930951686377,35.331187986055205,51.5050951997855,13.0631536604988,95.9,188114.0,19.5,67.9,12.7,2.2,1643.0,679.0,66.5,12.3,18.2,133.1,0.9,20.2,77.6,0.02789309516863766,0.014366365220773622,0.00985496188916066,0.13140252078305298,0.11682908291497723,0.00325872472821212
1802,1803,Oulu,2012,2812.6666666666697,1,0,0.0,942.75,1468.16666666667,400.333333333333,90289,3.11518198968497,33.5180137473335,52.1983882436596,14.233230623370499,95.8,190847.0,19.4,67.4,13.1,2.3,1676.0,687.0,65.5,13.8,18.3,137.6,0.9,19.2,78.7,0.03115181989684978,0.016260747894723277,0.010441471275570668,0.21770561744489084,0.19451361871191142,0.006059453217597974
1803,1804,Oulu,2013,3425.0,1,0,1.0,1096.16666666667,1802.41666666667,524.25,92042,3.72112731144478,32.0048661800487,52.62530413625301,15.306569343065698,96.0,193798.0,19.5,66.9,13.5,2.4,1528.0,852.0,64.4,15.6,18.4,142.9,0.9,18.8,79.5,0.03721127311444775,0.019582545649449924,0.011909418164171464,0.18046228710462173,0.16590775750537692,0.00617363887633815
1804,1805,Oulu,2014,4043.0833333333294,1,0,1.0,1227.16666666667,2186.3333333333303,629.583333333333,93191,4.3384911990785895,30.3522476657666,54.0758909248305,15.5718614094029,96.3,196291.0,19.3,66.7,14.0,2.5,1437.0,582.0,63.5,17.2,18.5,147.4,0.8,18.1,80.1,0.0433849119907859,0.023460777685971074,0.013168295937018274,0.2390090071521344,0.2204000378970381,0.009562036246928876
1805,1806,Oulu,2015,5009.416666666671,1,0,1.0,1465.08333333333,2684.75,859.583333333333,94612,5.2946948237714695,29.246585597125396,53.594064511836,17.1593498910385,96.4,198525.0,19.2,66.4,14.4,2.6,1294.0,506.0,63.6,17.3,18.8,147.9,0.8,18.8,79.4,0.05294694823771478,0.028376421595569273,0.015485174537408893,0.07763711676342724,0.06357408897302798,0.003366053998114786
1810,1811,Outokumpu,2010,85.1666666666667,1,0,0.0,36.25,38.9166666666667,5.08333333333333,3188,2.67147636971978,42.5636007827789,45.6947162426614,5.968688845401171,68.0,7411.0,13.5,63.1,23.5,2.0,-39.0,-49.0,56.7,15.9,33.8,192.2,5.6,42.4,50.4,0.026714763697197837,0.01220723546633209,0.011370765370138017,-0.0009784735812140856,0.023419224364745975,0.0006256390448758468
1811,1812,Outokumpu,2011,85.0833333333333,1,0,0.0,33.5,47.1666666666667,0.0,3112,2.7340402742073704,39.3731635651322,55.435847208619,0.0,68.2,7377.0,13.7,62.0,24.2,2.2,-26.0,-12.0,58.7,15.4,33.8,187.2,5.0,44.1,49.0,0.027340402742073684,0.015156383890317062,0.010764781491002571,0.07149853085210658,0.1056045848845344,0.0028872718821526776
1812,1813,Outokumpu,2012,91.1666666666667,1,0,0.0,38.1666666666667,47.5,1.25,3016,3.02276746242264,41.8647166361974,52.1023765996344,1.37111517367459,71.2,7343.0,13.9,61.2,24.9,2.5,-37.0,-16.0,58.1,16.2,34.0,194.1,5.3,44.0,49.8,0.03022767462422636,0.015749336870026526,0.01265473032714413,0.14259597806216046,0.13506899533447828,0.004082821642791758
1813,1814,Outokumpu,2013,104.166666666667,1,0,1.0,40.3333333333333,56.5,4.41666666666667,3036,3.4310496267017996,38.72,54.24,4.24,68.2,7262.0,14.2,60.2,25.6,2.7,-51.0,-32.0,57.0,17.5,34.4,204.7,5.4,42.1,51.8,0.03431049626701812,0.018610013175230568,0.013285024154589362,0.07439999999999976,0.09459006711409366,0.003245432144615104
1814,1815,Outokumpu,2014,111.916666666667,1,0,1.0,36.9166666666667,67.4166666666667,2.0,2980,3.7555928411633097,32.9858525688756,60.2382725241996,1.78704393149665,68.0,7172.0,14.2,59.2,26.6,2.5,-31.0,-66.0,57.6,17.2,34.8,207.3,4.2,42.0,52.9,0.03755592841163322,0.022623042505592852,0.012388143176733792,0.03946388682054496,0.07294852189997358,0.002739649466209866
1815,1816,Outokumpu,2015,116.333333333333,1,0,1.0,36.5,67.5,5.58333333333333,2887,4.02955778778432,31.375358166189102,58.0229226361032,4.79942693409742,67.8,7139.0,14.4,58.2,27.4,2.4,-38.0,1.0,55.9,19.5,34.9,220.4,4.2,41.4,53.6,0.04029557787784309,0.023380671977831658,0.012642881884308971,0.25931232091690903,0.2896894893533582,0.011673205378630841
1820,1821,Padasjoki,2010,36.4166666666667,0,0,0.0,30.6666666666667,7.5,0.0,1398,2.6049117787315197,84.2105263157895,20.5949656750572,0.0,49.8,3423.0,12.6,58.1,29.2,1.0,-42.0,0.0,63.2,11.1,38.4,185.7,15.2,25.3,57.0,0.026049117787315237,0.00536480686695279,0.021936099189318096,-0.05720823798627179,-0.026570987226593835,-0.0006921507759907915
1821,1822,Padasjoki,2011,34.3333333333333,0,0,0.0,19.5833333333333,10.5833333333333,0.0,1354,2.53569670113245,57.0388349514563,30.825242718446603,0.0,49.7,3369.0,12.7,57.1,30.2,1.1,-47.0,-15.0,64.7,10.3,38.6,184.1,14.3,25.6,57.4,0.025356967011324446,0.007816346627277178,0.014463318562284564,-0.07038834951456124,-0.06625061219786044,-0.001679914587981196
1822,1823,Padasjoki,2012,31.9166666666667,0,0,0.0,13.083333333333302,14.75,0.0,1348,2.36770524233432,40.992167101827704,46.2140992167102,0.0,48.8,3333.0,12.5,56.3,31.2,1.4,-47.0,0.0,65.7,10.1,39.0,184.1,13.7,23.7,59.8,0.02367705242334325,0.01094213649851632,0.009705736894164171,0.015665796344647504,0.03564106919257546,0.0008438754636966132
1823,1824,Padasjoki,2013,32.4166666666667,0,0,1.0,8.25,15.25,0.0,1322,2.45209278870398,25.4498714652956,47.0437017994859,0.0,50.1,3279.0,12.0,55.3,32.8,1.4,-40.0,-12.0,65.0,13.0,40.1,190.7,13.5,22.4,61.7,0.024520927887039863,0.011535552193645991,0.006240544629349471,0.4678663239074525,0.4869879541805764,0.011941396506318987
1824,1825,Padasjoki,2014,47.5833333333333,0,0,1.0,20.1666666666667,19.25,0.0,1305,3.6462324393358903,42.3817863397548,40.455341506129606,0.0,50.0,3197.0,11.3,54.1,34.7,1.1,-32.0,-45.0,65.9,14.8,41.2,196.6,13.0,21.2,63.3,0.03646232439335885,0.01475095785440613,0.015453384418901686,0.5569176882662,0.5677296166569376,0.020700741450262523
1825,1826,Padasjoki,2015,74.0833333333333,0,0,1.0,33.9166666666667,32.0833333333333,0.0,1296,5.7163065843621395,45.7817772778403,43.3070866141732,0.0,50.6,3143.0,11.2,53.1,35.7,1.0,-42.0,-9.0,64.6,15.9,41.7,203.7,13.3,22.3,62.1,0.05716306584362137,0.024755658436213968,0.02617026748971196,0.01124859392576018,0.03603018002196454,0.0020595955529530904
1830,1831,Paimio,2010,32.4166666666667,0,0,0.0,20.0,11.25,0.0,5193,0.6242377559535269,61.696658097686395,34.704370179948604,0.0,78.1,10402.0,18.5,65.4,16.1,0.9,51.0,11.0,74.7,5.9,22.0,115.9,5.4,23.9,69.4,0.006242377559535278,0.002166377816291161,0.0038513383400731755,0.23136246786632367,0.24043943659162345,0.0015009137434068556
1831,1832,Paimio,2011,39.9166666666667,0,0,0.0,19.0833333333333,15.416666666666698,0.4166666666666671,5155,0.774329130294213,47.8079331941545,38.6221294363257,1.0438413361169099,78.1,10471.0,18.7,64.3,16.9,0.9,32.0,12.0,76.8,5.4,22.3,112.8,5.7,24.3,68.9,0.007743291302942133,0.0029906239896540635,0.0037019075331393403,0.16910229645093933,0.1766345837962891,0.001367733036508609
1832,1833,Paimio,2012,46.6666666666667,0,0,0.0,16.5,20.9166666666667,1.25,5122,0.9111024339450741,35.3571428571429,44.821428571428605,2.67857142857143,78.1,10591.0,18.8,63.3,17.8,1.0,49.0,51.0,75.1,7.0,22.9,120.0,5.6,22.8,70.0,0.009111024339450742,0.00408369126643239,0.0032213978914486527,0.3535714285714283,0.332243054793016,0.003027074558832636
1833,1834,Paimio,2013,63.1666666666667,0,0,1.0,20.75,31.3333333333333,3.3333333333333304,5204,1.21380988982834,32.8496042216359,49.604221635883896,5.277044854881269,77.4,10590.0,19.3,62.3,18.4,1.1,12.0,-18.0,75.6,7.6,22.9,123.0,5.8,23.9,69.1,0.012138098898283378,0.00602100947988726,0.003987317448116833,0.1596306068601577,0.16612901992275564,0.0020164904736972977
1834,1835,Paimio,2014,73.25,0,0,1.0,24.6666666666667,35.25,9.58333333333333,5175,1.41545893719807,33.674630261661,48.122866894198,13.083048919226401,77.4,10628.0,19.2,61.6,19.2,1.1,38.0,-7.0,75.3,8.4,23.7,126.5,5.6,24.8,67.9,0.014154589371980676,0.006811594202898551,0.00476650563607086,0.2263936291240041,0.23402431085294984,0.0033125180231842657
1835,1836,Paimio,2015,89.8333333333333,0,0,1.0,26.0833333333333,46.0833333333333,14.0,5143,1.74671073951649,29.035250463821896,51.298701298701296,15.5844155844156,78.2,10620.0,19.1,60.9,20.0,1.3,7.0,-7.0,74.9,9.3,24.4,130.1,6.1,22.9,69.4,0.01746710739516494,0.008960399248169026,0.005071618380970893,0.30148423005566277,0.3068202645795147,0.005359262512423305
1850,1851,Parainen,2010,67.0,0,0,0.0,26.3333333333333,30.6666666666667,6.58333333333333,7383,0.907490180143573,39.30348258706471,45.771144278607,9.82587064676617,67.2,15501.0,17.2,62.4,20.4,1.5,-19.0,24.0,73.9,6.5,26.3,128.7,5.2,28.3,64.6,0.00907490180143573,0.004153686396677055,0.0035667524493205064,0.20024875621890598,0.20089938571136778,0.0018231421972994231
1851,1852,Parainen,2011,80.4166666666667,0,0,0.0,31.4166666666667,36.5833333333333,6.41666666666667,7379,1.08980439987351,39.0673575129534,45.492227979274595,7.97927461139896,66.9,15505.0,17.0,61.7,21.3,1.7,-31.0,32.0,74.8,5.7,26.7,128.2,4.6,29.0,64.7,0.010898043998735153,0.004957763021186245,0.004257577810904824,-0.05284974093264246,-0.03599699839199568,-0.00039229687229836753
1852,1853,Parainen,2012,76.1666666666667,0,0,0.0,32.0833333333333,33.4166666666667,4.08333333333333,7250,1.0505747126436802,42.1225382932166,43.8730853391685,5.36105032822757,67.0,15561.0,17.1,60.7,22.2,1.8,6.0,14.0,75.2,5.6,27.4,129.8,4.8,29.1,64.3,0.010505747126436786,0.004609195402298855,0.004425287356321835,0.20350109409190364,0.21084969916268417,0.00221513362108843
1853,1854,Parainen,2013,91.6666666666667,0,0,1.0,43.5,38.0833333333333,1.6666666666666698,7206,1.27208807475252,47.454545454545496,41.545454545454504,1.8181818181818201,67.1,15507.0,16.9,60.0,23.1,2.0,-16.0,-61.0,74.4,6.9,28.0,135.7,4.7,28.3,65.7,0.012720880747525216,0.00528494772874456,0.006036636136552873,0.2136363636363632,0.21955984330827405,0.0027929945836698764
1854,1855,Parainen,2014,111.25,0,0,1.0,45.0833333333333,52.5,8.41666666666667,7171,1.5513875331195102,40.524344569288395,47.1910112359551,7.565543071161049,67.5,15494.0,16.6,59.6,23.8,2.2,-44.0,12.0,73.9,8.6,28.6,138.4,5.0,27.7,65.5,0.015513875331195092,0.007321154650676336,0.006286896295263324,0.25692883895130786,0.27488496522204076,0.004264531080874639
1855,1856,Parainen,2015,139.833333333333,0,0,1.0,50.1666666666667,63.0,23.5833333333333,7070,1.97784064120698,35.8760429082241,45.0536352800953,16.865315852205,67.5,15457.0,16.2,59.0,24.8,2.3,-46.0,1.0,74.1,8.3,29.3,140.6,5.2,26.5,65.8,0.01977840641206973,0.00891089108910891,0.0070957095709571006,0.021454112038140693,0.015993327533716253,0.0003163225318431849
1860,1861,Parikkala,2010,62.8333333333333,1,0,0.0,32.1666666666667,22.6666666666667,0.0,2445,2.5698704839809103,51.1936339522546,36.0742705570292,0.0,42.3,5787.0,10.8,60.0,29.3,1.5,-84.0,-50.0,61.1,14.5,39.4,186.9,21.7,15.2,60.6,0.02569870483980912,0.009270620313565112,0.01315610088616225,0.003978779840848808,0.021526473870526516,0.0005532024982405244
1861,1862,Parikkala,2011,63.0833333333333,1,0,0.0,29.5833333333333,27.0,0.0,2403,2.62519073380497,46.8956406869221,42.800528401585204,0.0,42.8,5664.0,10.4,59.6,30.0,1.3,-71.0,-59.0,61.3,13.6,40.3,186.5,20.9,17.5,58.9,0.026251907338049645,0.011235955056179775,0.01231100013871548,0.027741083223249686,0.046910480282097954,0.0012314895815490404
1862,1863,Parikkala,2012,64.8333333333333,1,0,0.0,34.9166666666667,22.9166666666667,0.0,2359,2.74833969195987,53.85604113110539,35.3470437017995,0.0,44.4,5591.0,10.4,58.3,31.3,1.4,-55.0,-22.0,61.9,14.1,40.8,188.9,20.5,17.7,60.1,0.027483396919598686,0.00971456831990958,0.014801469549244044,0.11825192802056612,0.15244923468786184,0.0041898228270155595
1863,1864,Parikkala,2013,72.5,1,0,1.0,36.6666666666667,30.9166666666667,0.0,2289,3.16732197466142,50.574712643678204,42.6436781609195,0.0,44.4,5509.0,10.3,57.0,32.7,1.5,-51.0,-42.0,61.4,16.3,41.6,197.3,20.6,18.1,60.3,0.031673219746614245,0.013506625891947007,0.016018639871850895,0.11379310344827587,0.13209254608929977,0.0041837962391761616
1864,1865,Parikkala,2014,80.75,1,0,1.0,30.8333333333333,43.75,0.0,2252,3.5857015985790404,38.183694530443795,54.1795665634675,0.0,45.1,5373.0,10.0,55.8,34.2,1.3,-66.0,-78.0,62.5,15.8,42.6,196.9,20.6,19.0,58.6,0.03585701598579041,0.019427175843694494,0.013691533451746582,0.1847265221878229,0.2050605817375689,0.007352860557419488
1865,1866,Parikkala,2015,95.6666666666667,1,0,1.0,33.8333333333333,51.5833333333333,0.0,2214,4.320987654320991,35.3658536585366,53.919860627177705,0.0,44.7,5235.0,10.0,54.6,35.4,1.3,-80.0,-56.0,62.6,16.4,43.3,200.3,21.1,18.8,58.1,0.043209876543209895,0.0232987052092743,0.015281541704305917,0.1271777003484282,0.1607308970099627,0.0069451622164798735
1870,1871,Parkano,2010,30.6666666666667,0,0,0.0,19.1666666666667,11.333333333333302,0.0,3112,0.985432733504713,62.5,36.956521739130395,0.0,65.1,6978.0,14.5,61.9,23.6,1.4,-38.0,-60.0,64.8,10.6,32.1,163.0,6.9,35.7,55.9,0.00985432733504714,0.003641816623821755,0.006158954584404466,0.10869565217391185,0.13123307198859466,0.0012932136485594176
1871,1872,Parkano,2011,34.0,0,0,0.0,14.583333333333302,13.5,0.0,3050,1.1147540983606599,42.892156862745104,39.7058823529412,0.0,65.8,6982.0,14.8,60.5,24.7,1.5,-26.0,22.0,67.5,9.4,32.5,157.6,7.1,37.1,54.5,0.011147540983606558,0.004426229508196721,0.004781420765027312,0.1887254901960794,0.22156763648855865,0.0024699343083970475
1872,1873,Parkano,2012,40.4166666666667,0,0,0.0,18.9166666666667,14.75,0.0,2968,1.3617475292003602,46.804123711340196,36.494845360824705,0.0,65.9,6918.0,14.8,59.5,25.8,1.6,-37.0,-36.0,67.6,9.4,33.2,158.9,7.2,35.6,55.7,0.013617475292003606,0.004969676549865229,0.006373539982030559,0.10927835051546218,0.10074829298893066,0.0013719373904883033
1873,1874,Parkano,2013,44.8333333333333,0,0,1.0,24.8333333333333,14.333333333333302,0.0,2991,1.4989412682491898,55.3903345724907,31.9702602230483,0.0,65.5,6836.0,14.8,58.3,26.9,1.5,-46.0,-50.0,66.1,13.0,34.0,169.7,7.9,31.7,59.1,0.014989412682491909,0.004792154240499265,0.008302685835283617,0.27323420074349464,0.2900553842899026,0.00434775985590013
1874,1875,Parkano,2014,57.0833333333333,0,0,1.0,26.5833333333333,21.0833333333333,0.4166666666666671,2952,1.93371725383921,46.569343065693396,36.9343065693431,0.7299270072992701,66.6,6808.0,14.6,57.6,27.8,1.6,-41.0,10.0,65.7,15.3,34.4,175.5,7.7,30.4,60.0,0.01933717253839204,0.007142050587172527,0.009005194218608842,0.6467153284671543,0.6676170324648504,0.012909825746342092
1875,1876,Parkano,2015,94.0,0,0,1.0,39.0,40.5833333333333,7.08333333333333,2915,3.22469982847341,41.4893617021277,43.1737588652482,7.535460992907799,67.0,6766.0,14.7,56.7,28.6,1.6,-50.0,14.0,64.1,16.2,34.7,186.2,8.1,30.4,59.8,0.03224699828473413,0.013922241280731835,0.013379073756432247,0.1693262411347553,0.16892523762270645,0.00544733184786772
1880,1881,Pedersörenkunta,2010,47.8333333333333,0,0,0.0,25.75,24.5833333333333,0.0,5009,0.9549477606974108,53.832752613240395,51.3937282229965,0.0,68.4,10893.0,24.5,61.0,14.5,1.7,123.0,-53.0,78.9,4.4,18.8,124.3,13.9,39.9,45.1,0.009549477606974107,0.00490783256804418,0.005140746656019166,-0.18292682926829282,-0.17816877265158215,-0.0017014187046983445
1881,1882,Pedersörenkunta,2011,39.0833333333333,0,0,0.0,16.5,19.5833333333333,0.0,4980,0.7848058902275771,42.21748400852879,50.10660980810229,0.0,68.2,10937.0,24.2,60.6,15.2,1.8,72.0,-41.0,80.3,3.9,19.0,121.8,13.2,40.8,45.0,0.007848058902275763,0.0039323962516733535,0.0033132530120481927,0.02771855010661153,0.007289584635096632,5.7209089589362744e-05
1882,1883,Pedersörenkunta,2012,40.1666666666667,0,0,0.0,16.8333333333333,16.8333333333333,0.0,5081,0.790526799186512,41.9087136929461,41.9087136929461,0.0,69.6,10940.0,23.9,60.2,15.8,2.0,94.0,-111.0,81.5,3.3,19.1,119.2,13.1,40.6,45.1,0.007905267991865125,0.003312996129370852,0.003312996129370852,0.1348547717842306,0.1235769866398432,0.0009769091970150967
1883,1884,Pedersörenkunta,2013,45.5833333333333,0,0,1.0,18.4166666666667,21.0,0.0,5132,0.8882177188880229,40.4021937842779,46.0694698354662,0.0,69.2,10970.0,23.8,60.1,16.1,2.0,87.0,-73.0,81.3,5.0,19.2,119.8,13.3,37.9,47.7,0.008882177188880222,0.004091971940763835,0.003588594440114322,0.012797074954297626,0.006911001291254523,6.138473802150268e-05
1884,1885,Pedersörenkunta,2014,46.1666666666667,0,0,1.0,20.6666666666667,17.9166666666667,0.0,5162,0.8943561926901721,44.7653429602888,38.808664259927795,0.0,72.0,11060.0,23.8,59.5,16.7,2.2,82.0,-10.0,81.9,4.6,19.5,119.9,12.1,38.4,48.5,0.008943561926901725,0.003470876921090023,0.004003616169443375,0.13176895306859124,0.1113165942058336,0.0009955668537716626
1885,1886,Pedersörenkunta,2015,52.25,0,0,1.0,18.5833333333333,28.1666666666667,0.0,5257,0.9939128780673391,35.5661881977671,53.907496012759196,0.0,72.4,11129.0,23.6,59.3,17.2,2.4,86.0,-48.0,82.1,4.4,19.6,119.8,12.0,43.3,43.7,0.009939128780673387,0.005357935451144512,0.0035349692473527297,0.20574162679425836,0.20299558399267725,0.0020175992512112204
1900,1901,Pello,2010,31.8333333333333,0,0,0.0,23.0,8.16666666666667,0.0,1633,1.94937742396407,72.2513089005236,25.6544502617801,0.0,51.2,3980.0,10.6,61.3,28.1,1.1,-37.0,-23.0,57.3,16.2,39.2,199.2,11.8,18.7,65.6,0.019493774239640722,0.005001020616452339,0.014084507042253521,0.07329842931937389,0.100248797914964,0.0019542274343496736
